gesture,landmark_0,landmark_1,landmark_2,landmark_3,landmark_4,landmark_5,landmark_6,landmark_7,landmark_8,landmark_9,landmark_10,landmark_11,landmark_12,landmark_13,landmark_14,landmark_15,landmark_16,landmark_17,landmark_18,landmark_19,landmark_20,landmark_21,landmark_22,landmark_23,landmark_24,landmark_25,landmark_26,landmark_27,landmark_28,landmark_29,landmark_30,landmark_31,landmark_32,landmark_33,landmark_34,landmark_35,landmark_36,landmark_37,landmark_38,landmark_39,landmark_40,landmark_41,landmark_42,landmark_43,landmark_44,landmark_45,landmark_46,landmark_47,landmark_48,landmark_49,landmark_50,landmark_51,landmark_52,landmark_53,landmark_54,landmark_55,landmark_56,landmark_57,landmark_58,landmark_59,landmark_60,landmark_61,landmark_62
fist,0.5718546,0.6333527,-3.0554708e-07,0.54452777,0.51599157,0.016348409,0.49282855,0.44622058,0.01353775,0.43659562,0.44392237,0.006110751,0.40028793,0.48204643,-0.0019619237,0.45984212,0.38276958,0.0034913481,0.3823424,0.41673836,-0.005661619,0.40141994,0.45319206,-0.014888838,0.43120933,0.45995745,-0.02054739,0.43309125,0.44045028,-0.011249765,0.37284702,0.4808843,-0.0094230445,0.39236322,0.5124637,-0.008224486,0.42137733,0.5166524,-0.010214489,0.4126919,0.5110432,-0.024197202,0.36620104,0.54409397,-0.018331822,0.38848713,0.56896573,-0.008975454,0.41635972,0.56821954,-0.006971701,0.39739197,0.5853038,-0.03658242,0.37073427,0.6028045,-0.031122694,0.3961577,0.6237906,-0.01858266,0.42019916,0.6265684,-0.009432717
fist,0.5830881,0.62132657,-3.098416e-07,0.55605894,0.50476295,0.016842341,0.5037565,0.43364412,0.014694089,0.4483471,0.4288063,0.007846804,0.41216058,0.46573287,0.00039644045,0.47372165,0.36944637,0.0049162647,0.39668918,0.40207615,-0.0038144346,0.41506043,0.4384308,-0.01292789,0.44340295,0.44474968,-0.018533599,0.447081,0.42524076,-0.010101367,0.38564008,0.46432137,-0.008190999,0.40409112,0.4961463,-0.0066774683,0.43226624,0.50003755,-0.008312011,0.4257508,0.49410933,-0.023380328,0.37784147,0.52542555,-0.017291069,0.39852774,0.5511927,-0.007385592,0.42522016,0.5504247,-0.0048124497,0.40934,0.56644547,-0.036124084,0.37948483,0.5803328,-0.029530484,0.4035209,0.602255,-0.015854467,0.42706776,0.60600716,-0.0060082385
fist,0.5917531,0.6169197,-3.0994858e-07,0.5627882,0.4986431,0.017775169,0.5080623,0.42791033,0.016384806,0.4533883,0.42302465,0.010152673,0.41764268,0.46032476,0.003364732,0.48167711,0.36254126,0.0068103694,0.40476742,0.39602086,-0.0018478751,0.42328006,0.43342128,-0.011104264,0.45096403,0.43976885,-0.016813021,0.4542418,0.4171959,-0.0086395275,0.3932183,0.45766965,-0.006516149,0.41204238,0.49050003,-0.0050452496,0.43987927,0.49425426,-0.006549512,0.4321735,0.4856662,-0.022367092,0.38514328,0.5186673,-0.016141593,0.40626946,0.5455168,-0.0061922884,0.43266758,0.5444239,-0.0034198991,0.41554084,0.55846393,-0.035527118,0.3866869,0.5742336,-0.028515404,0.41097745,0.5962237,-0.014487987,0.43424878,0.599147,-0.004275711
fist,0.5901152,0.62348056,-3.0483858e-07,0.5616741,0.5034596,0.0170292,0.5063866,0.43007007,0.01560345,0.44948202,0.42121243,0.0097466465,0.41162357,0.45618325,0.0033707719,0.4814437,0.36746642,0.0052870624,0.40366378,0.400765,-0.0031506992,0.4223849,0.437847,-0.011863199,0.4499696,0.44414586,-0.017230462,0.45400602,0.42330623,-0.009541562,0.3928418,0.4642871,-0.007819257,0.41191536,0.49614567,-0.006320196,0.4398706,0.4997169,-0.0077617555,0.43150076,0.49246135,-0.022593947,0.3854029,0.5255023,-0.017110998,0.40683132,0.5506422,-0.0074157184,0.4334154,0.54893464,-0.0046593556,0.41446644,0.5653255,-0.03501288,0.38744417,0.5800957,-0.028611258,0.4119901,0.6014332,-0.015006622,0.43498087,0.603907,-0.005010757
fist,0.58696705,0.62613523,-3.1458254e-07,0.55798703,0.5081149,0.016274849,0.50301814,0.43380466,0.014421396,0.44602698,0.42268735,0.008251701,0.40708145,0.45584387,0.0017486603,0.4770949,0.37046212,0.005240993,0.39887345,0.40518624,-0.0035630446,0.41735768,0.44220322,-0.012337789,0.4447736,0.4482359,-0.017603694,0.45051187,0.42626768,-0.009241553,0.38797396,0.46923018,-0.008138426,0.4070987,0.5013478,-0.0067585735,0.43493447,0.5046037,-0.008204057,0.42831692,0.49539298,-0.022111949,0.38023546,0.5302859,-0.017668646,0.40171266,0.5557699,-0.008006759,0.42845613,0.55405354,-0.005003799,0.41099644,0.56840324,-0.034344062,0.3807966,0.583326,-0.028758919,0.40429744,0.6050788,-0.0153565835,0.426776,0.6083064,-0.00535554
fist,0.57922566,0.63025415,-3.2630675e-07,0.550739,0.5134992,0.01765309,0.49698845,0.4397831,0.016480783,0.44137278,0.42855358,0.010904437,0.40295547,0.46052948,0.0047226376,0.4678219,0.3772707,0.005229125,0.39017704,0.41090146,-0.0019773063,0.40790835,0.44724828,-0.009401982,0.4352016,0.4536612,-0.0138443215,0.44151348,0.4345232,-0.00931836,0.3788963,0.47610316,-0.0065137064,0.39740857,0.5082066,-0.00420238,0.4252936,0.51213586,-0.0053981813,0.41996092,0.50436735,-0.021923445,0.37104338,0.5375298,-0.01545548,0.39160115,0.56300765,-0.0052724406,0.4182326,0.5621978,-0.002491116,0.40367976,0.5776471,-0.03371847,0.3704397,0.59190655,-0.026466947,0.39265937,0.6135006,-0.01239709,0.41494688,0.61791116,-0.0022778865
fist,0.566927,0.6337718,-3.523763e-07,0.5399997,0.5199672,0.020420969,0.4881927,0.44762745,0.020538,0.434153,0.43693662,0.015815912,0.3966185,0.4682408,0.010327402,0.45531863,0.38353294,0.0062244427,0.37743726,0.41533995,0.0013392343,0.39322105,0.45223236,-0.0039687105,0.4192105,0.45907125,-0.007243216,0.43000206,0.43951613,-0.009000786,0.3658729,0.4815454,-0.003889685,0.38383335,0.51410353,0.00012796748,0.41129342,0.5176884,-0.00031910738,0.4095449,0.50811446,-0.021820625,0.35947695,0.54296356,-0.012309474,0.37941524,0.56819,-0.0015299066,0.40533,0.56729543,0.00078096456,0.39439294,0.5807339,-0.03368174,0.36037683,0.5980171,-0.024258154,0.38212192,0.6186198,-0.010127989,0.40414214,0.6228034,-0.0004998332
fist,0.55744314,0.6349896,-3.8005666e-07,0.5320683,0.5207903,0.022006206,0.48114547,0.44956818,0.022524398,0.42593822,0.44113976,0.018391829,0.3886042,0.47269803,0.013252323,0.44796395,0.38734907,0.00323461,0.36937332,0.4180991,0.0001600672,0.3838101,0.45595723,-0.003003174,0.40877825,0.46379623,-0.00524244,0.42209744,0.44275293,-0.012102369,0.35740316,0.48573056,-0.0049558124,0.3751706,0.5189727,0.0007721599,0.40191898,0.5225075,0.0008163131,0.40184397,0.5104215,-0.024388343,0.3522178,0.5478691,-0.01211833,0.37201384,0.5724212,-0.0008354266,0.39705825,0.5711337,0.00068281224,0.3874993,0.5819151,-0.035565358,0.35513064,0.60497934,-0.02465769,0.37738058,0.6249326,-0.010916053,0.39900017,0.6284917,-0.0021705118
fist,0.554976,0.63464767,-3.785779e-07,0.5289677,0.52096117,0.02182923,0.47665054,0.45161396,0.022137053,0.42184982,0.4460546,0.017640213,0.3856129,0.4793685,0.0122593995,0.4449702,0.38742822,0.0034222386,0.36584693,0.41912547,-0.0006745102,0.38043606,0.45745045,-0.0044490853,0.4053219,0.46464568,-0.007053011,0.41930357,0.4413457,-0.012134216,0.35419357,0.48643285,-0.0061376104,0.372835,0.5199684,-0.0006451996,0.39957073,0.5221542,-0.0005018205,0.39910755,0.50809515,-0.02481582,0.34983367,0.54895544,-0.013484446,0.3705434,0.5737852,-0.0026283746,0.39547616,0.57110775,-0.0011575724,0.38467735,0.5790657,-0.03649157,0.3538228,0.6059617,-0.02640063,0.3767031,0.6263952,-0.013506052,0.3980549,0.6290556,-0.0052611367
fist,0.5524906,0.6338582,-3.7093506e-07,0.5260111,0.51932025,0.020444872,0.47219262,0.45082778,0.020232549,0.41675395,0.44695434,0.015276508,0.38038626,0.48006552,0.0095549,0.44132876,0.38634437,0.0034457645,0.36292502,0.41958743,-0.0025214066,0.37850815,0.45746002,-0.007825415,0.4043282,0.46439466,-0.011209408,0.4152202,0.44019836,-0.011954834,0.35161462,0.48619,-0.007682903,0.37109378,0.5197464,-0.0031912283,0.39816967,0.52134657,-0.003352987,0.394938,0.5072912,-0.024829024,0.34742993,0.54912597,-0.015615563,0.3689228,0.5746766,-0.0050911945,0.3941179,0.5714036,-0.003214584,0.38047963,0.5785435,-0.036832727,0.35124394,0.6053412,-0.028245961,0.3747677,0.6271469,-0.015452987,0.3960515,0.6300466,-0.0068965717
