gesture,landmark_0,landmark_1,landmark_2,landmark_3,landmark_4,landmark_5,landmark_6,landmark_7,landmark_8,landmark_9,landmark_10,landmark_11,landmark_12,landmark_13,landmark_14,landmark_15,landmark_16,landmark_17,landmark_18,landmark_19,landmark_20,landmark_21,landmark_22,landmark_23,landmark_24,landmark_25,landmark_26,landmark_27,landmark_28,landmark_29,landmark_30,landmark_31,landmark_32,landmark_33,landmark_34,landmark_35,landmark_36,landmark_37,landmark_38,landmark_39,landmark_40,landmark_41,landmark_42,landmark_43,landmark_44,landmark_45,landmark_46,landmark_47,landmark_48,landmark_49,landmark_50,landmark_51,landmark_52,landmark_53,landmark_54,landmark_55,landmark_56,landmark_57,landmark_58,landmark_59,landmark_60,landmark_61,landmark_62
ok_sign,0.71921206,0.8517081,-1.1271881e-07,0.6376184,0.8188696,0.000531327,0.5787242,0.77806544,-0.011754146,0.51650053,0.75186694,-0.03240838,0.4739468,0.7039796,-0.049990166,0.62163717,0.59594154,0.020048935,0.54679596,0.5704099,-0.027162585,0.5003809,0.62232506,-0.06992932,0.48595014,0.6788788,-0.0889161,0.6379413,0.55929536,0.0033179931,0.5923552,0.43769726,-0.018883286,0.548221,0.36945492,-0.028963942,0.5094832,0.3202576,-0.031859122,0.6627397,0.54348344,-0.021423813,0.6368833,0.406361,-0.03499066,0.60792387,0.32804793,-0.029771393,0.58094597,0.27113912,-0.021419028,0.68422574,0.5509174,-0.049168024,0.6843141,0.43103322,-0.05358858,0.6762849,0.35185272,-0.042913694,0.66574043,0.28705728,-0.030276537
ok_sign,0.71737206,0.8529,-1.1255645e-07,0.6349275,0.8200344,0.0012383142,0.57633483,0.77958685,-0.011059186,0.5137585,0.7535212,-0.032021515,0.4702993,0.7059915,-0.04995265,0.61823,0.5961911,0.0211879,0.54311645,0.5719079,-0.026305178,0.49666023,0.6246033,-0.06938186,0.48227543,0.68144107,-0.08851017,0.6343811,0.559377,0.003860773,0.5876478,0.4380191,-0.018218415,0.542837,0.36921158,-0.02822112,0.50383204,0.3196296,-0.031168679,0.6591876,0.5436798,-0.02156518,0.632088,0.406514,-0.034769572,0.6025313,0.3280465,-0.029188652,0.5751088,0.27137214,-0.020788193,0.6806384,0.55111337,-0.050028216,0.68018365,0.43097162,-0.05434549,0.6718317,0.35108703,-0.04365287,0.6609016,0.28575557,-0.03109006
ok_sign,0.7160088,0.85498345,-1.120347e-07,0.6328777,0.82244694,0.0014257851,0.57367647,0.7821741,-0.011030868,0.5103661,0.7566932,-0.032277774,0.466117,0.7094655,-0.05056932,0.6140634,0.59762704,0.021430064,0.53884065,0.5739726,-0.026386246,0.4925943,0.62634283,-0.069834635,0.47851753,0.68274164,-0.089253016,0.62982833,0.56041443,0.0037513971,0.5824568,0.43928462,-0.019149097,0.53696495,0.37098712,-0.02970917,0.49744624,0.32252562,-0.03286221,0.6547826,0.544539,-0.022015357,0.62746966,0.40722638,-0.03579047,0.59747994,0.3286623,-0.030530075,0.5695083,0.27227265,-0.022233197,0.6765804,0.5521093,-0.05080051,0.67626804,0.43175477,-0.05548591,0.6671648,0.3514557,-0.044987243,0.6554126,0.28594288,-0.03251124
ok_sign,0.7161349,0.85609037,-1.2108353e-07,0.6321007,0.82359236,0.0018334783,0.57176155,0.7828726,-0.0103383465,0.5079287,0.7577114,-0.031364776,0.46308905,0.71095943,-0.049551137,0.61202127,0.5968197,0.021874148,0.53650725,0.57466614,-0.026097408,0.49052945,0.62691253,-0.07006752,0.47676802,0.68270653,-0.09001289,0.62778825,0.55930686,0.0037587434,0.5796082,0.43825737,-0.019462064,0.53396875,0.37048423,-0.030672902,0.49426842,0.3230422,-0.03429213,0.6532582,0.5434636,-0.022418534,0.6251174,0.40569314,-0.03669063,0.59413993,0.32688642,-0.03225141,0.56507957,0.27044338,-0.024559993,0.67569697,0.55130136,-0.051535197,0.6752998,0.43104067,-0.057056736,0.6653893,0.35029262,-0.047365587,0.6525699,0.2840457,-0.035470013
ok_sign,0.714613,0.85697806,-1.2152238e-07,0.63006866,0.8248852,0.0017265143,0.5690172,0.7845151,-0.010402217,0.50492585,0.75939924,-0.03137117,0.4592529,0.71386105,-0.049553253,0.60909927,0.59836555,0.022446768,0.53405595,0.57559717,-0.025415014,0.48832494,0.6273323,-0.069424726,0.47471628,0.68307936,-0.089372516,0.62473416,0.56052274,0.0045363214,0.57658404,0.43939367,-0.018565098,0.5310205,0.37255767,-0.029783716,0.49136162,0.3257266,-0.033334848,0.6505598,0.5442393,-0.021505788,0.6225017,0.40635985,-0.0356409,0.59161294,0.32791597,-0.031218529,0.56255066,0.27151546,-0.023490967,0.6735436,0.55160236,-0.050509952,0.6731725,0.43130198,-0.05556358,0.6632041,0.35100025,-0.045611463,0.6502305,0.28508273,-0.03357859
ok_sign,0.71335757,0.85715324,-1.3131162e-07,0.6274648,0.82525414,0.0022799065,0.56656396,0.7853774,-0.009808211,0.50211,0.7600006,-0.030811856,0.4557542,0.7151047,-0.048993457,0.60726345,0.59795237,0.022920016,0.53238153,0.57384384,-0.0245899,0.4865671,0.6259187,-0.06800815,0.47321588,0.682991,-0.08751074,0.6232748,0.5604781,0.004923707,0.5743684,0.43893543,-0.018032517,0.52853894,0.37278444,-0.028619235,0.48886985,0.32578292,-0.031613618,0.6492929,0.54433,-0.021157904,0.6205476,0.40611023,-0.034779657,0.58917177,0.32791483,-0.029593099,0.5599315,0.27100897,-0.021403167,0.67220604,0.55192506,-0.050204743,0.6708333,0.43175706,-0.054760624,0.6607189,0.35155138,-0.044417046,0.6481049,0.28512543,-0.032147553
ok_sign,0.71296585,0.8581435,-1.3275297e-07,0.62572944,0.8270689,0.0025306174,0.564463,0.7875947,-0.009754671,0.49968567,0.7614711,-0.031084567,0.4531842,0.7159276,-0.04950369,0.60506564,0.5992154,0.023417773,0.5302958,0.57408065,-0.024167601,0.48435393,0.6255634,-0.06716402,0.4710837,0.68315613,-0.08611954,0.62123144,0.56235105,0.0053621465,0.5721451,0.44067675,-0.01757803,0.5256829,0.37549406,-0.027448645,0.48561087,0.32844466,-0.029653773,0.64716655,0.5460766,-0.020843131,0.6182817,0.40722474,-0.034054898,0.58640856,0.32941195,-0.027829956,0.5570873,0.27228004,-0.018794127,0.66991603,0.5535679,-0.050077718,0.66769534,0.43284947,-0.054009665,0.6572483,0.35274607,-0.04295051,0.644971,0.28621578,-0.030049572
ok_sign,0.712677,0.8600887,-1.362381e-07,0.62486994,0.8297178,0.0020923761,0.5631002,0.78907996,-0.010724393,0.49784654,0.762457,-0.032700498,0.45183235,0.71561706,-0.051684815,0.6035991,0.5992123,0.022989243,0.5284479,0.573454,-0.02499492,0.48213425,0.6253192,-0.06771548,0.46903563,0.68422765,-0.086250916,0.619982,0.5627935,0.0047675977,0.5706662,0.44154245,-0.018188635,0.5233165,0.37703705,-0.027348772,0.48276442,0.33044428,-0.028867204,0.6457647,0.5467556,-0.021754572,0.6165994,0.407662,-0.034963068,0.583674,0.3298064,-0.02804266,0.55389524,0.27253088,-0.018491935,0.66811204,0.5548942,-0.05142321,0.66524476,0.43393332,-0.055744737,0.65434194,0.35324386,-0.044670403,0.6421633,0.28584012,-0.031619966
ok_sign,0.7130407,0.8626995,-1.40776e-07,0.6245024,0.8321434,0.0027660588,0.56203234,0.79029024,-0.009603995,0.49668947,0.763124,-0.031306725,0.45059752,0.7158869,-0.05000662,0.60162216,0.6005236,0.024624456,0.5269338,0.5749354,-0.023323473,0.4805283,0.6264211,-0.06595714,0.46733728,0.68523836,-0.08425565,0.61793786,0.5643775,0.006034339,0.5682451,0.44378272,-0.01623791,0.52049,0.3798987,-0.024787392,0.47970366,0.33333024,-0.02577963,0.64368516,0.5482346,-0.020990789,0.61382294,0.40957946,-0.033852067,0.5801338,0.33191386,-0.026539112,0.550053,0.2746156,-0.016680699,0.6661199,0.556368,-0.051176358,0.6626925,0.4353734,-0.055500973,0.6512542,0.35447997,-0.04434524,0.6388482,0.28662983,-0.031141585
ok_sign,0.7135399,0.8619534,-1.4364471e-07,0.6261625,0.83248967,0.0017044607,0.5631346,0.7895403,-0.010804353,0.49736947,0.7621366,-0.03253237,0.45096064,0.71564376,-0.051350247,0.6022387,0.6006509,0.024306554,0.52758336,0.575751,-0.023895621,0.48079094,0.6269767,-0.06683501,0.46711498,0.6850399,-0.08537704,0.61832863,0.56398225,0.0060468866,0.56890595,0.44419813,-0.016232898,0.5210984,0.38053143,-0.025025288,0.4801616,0.33448085,-0.026177783,0.64422727,0.5475126,-0.020780927,0.6142534,0.4094263,-0.034148607,0.58062786,0.3316486,-0.02728464,0.5503687,0.27450082,-0.01761728,0.6670728,0.55534637,-0.0508489,0.66350734,0.43526393,-0.055862922,0.65196127,0.35477084,-0.045095023,0.63912547,0.28743997,-0.03206729
