gesture,landmark_0,landmark_1,landmark_2,landmark_3,landmark_4,landmark_5,landmark_6,landmark_7,landmark_8,landmark_9,landmark_10,landmark_11,landmark_12,landmark_13,landmark_14,landmark_15,landmark_16,landmark_17,landmark_18,landmark_19,landmark_20,landmark_21,landmark_22,landmark_23,landmark_24,landmark_25,landmark_26,landmark_27,landmark_28,landmark_29,landmark_30,landmark_31,landmark_32,landmark_33,landmark_34,landmark_35,landmark_36,landmark_37,landmark_38,landmark_39,landmark_40,landmark_41,landmark_42,landmark_43,landmark_44,landmark_45,landmark_46,landmark_47,landmark_48,landmark_49,landmark_50,landmark_51,landmark_52,landmark_53,landmark_54,landmark_55,landmark_56,landmark_57,landmark_58,landmark_59,landmark_60,landmark_61,landmark_62
open_palm,0.43536463,0.7800109,7.3079434e-07,0.5285463,0.7433047,-0.037058163,0.6032862,0.67674977,-0.046911813,0.65475833,0.6065186,-0.054514013,0.6886249,0.54959494,-0.060553096,0.5441574,0.5202022,-0.0023491129,0.5792949,0.4186077,-0.015104771,0.59851134,0.35427016,-0.030863699,0.61392725,0.2993615,-0.04286932,0.49476328,0.4990879,0.0020279894,0.5163418,0.3842922,-0.006801096,0.5299556,0.31027415,-0.022913845,0.5422276,0.25012532,-0.035575707,0.446037,0.501384,-0.00026309292,0.4537371,0.39278516,-0.0133289145,0.4616291,0.32377544,-0.029174512,0.47142714,0.26807705,-0.040441588,0.39491075,0.5226478,-0.006909435,0.3831094,0.44277757,-0.022563823,0.37823924,0.38626418,-0.03225984,0.3793017,0.33385444,-0.03808369
open_palm,0.4214615,0.7768561,7.5433775e-07,0.5136568,0.7380411,-0.03862306,0.5878166,0.67155045,-0.050324798,0.63897663,0.59990406,-0.05965917,0.6722044,0.53953487,-0.06756036,0.52648896,0.51436853,-0.006214521,0.55995977,0.4108995,-0.021047961,0.57839847,0.3453255,-0.037968986,0.5932837,0.28911325,-0.05064448,0.4766404,0.49423242,-0.001959393,0.49651974,0.3777849,-0.012714324,0.5089867,0.30232206,-0.029784974,0.5206589,0.24029294,-0.043011583,0.42732644,0.4979114,-0.0043659518,0.4340023,0.38789234,-0.019042887,0.4409617,0.3180127,-0.035236545,0.45030767,0.26096165,-0.04655507,0.37560314,0.5209974,-0.011201424,0.36331755,0.4407584,-0.028306097,0.35765877,0.3838389,-0.03842533,0.35761657,0.33043376,-0.044302985
open_palm,0.40970463,0.7741048,7.742392e-07,0.50309426,0.73118854,-0.04004089,0.57637036,0.66292274,-0.051687904,0.6250803,0.58750194,-0.060683567,0.658504,0.5241388,-0.06798637,0.5130277,0.50660896,-0.0030706972,0.5455037,0.40156588,-0.016432479,0.56298524,0.33528215,-0.03273838,0.5770547,0.27850473,-0.045100708,0.46293697,0.48778552,0.0022975593,0.4817385,0.36955616,-0.006945789,0.49316993,0.29309818,-0.02373767,0.5042582,0.230117,-0.03686309,0.41341335,0.49271423,0.00055976503,0.42003232,0.38141176,-0.013447712,0.42721826,0.3112766,-0.03011786,0.436858,0.2538921,-0.04174378,0.3613201,0.5165682,-0.005751836,0.34864664,0.4357633,-0.022638371,0.3420939,0.37823516,-0.03327365,0.3411945,0.3236969,-0.03954523
open_palm,0.40487212,0.7702848,7.52498e-07,0.49841517,0.7262074,-0.039894722,0.5698596,0.65541124,-0.051051416,0.61499447,0.5765592,-0.059473943,0.64900494,0.5124785,-0.066121414,0.50618374,0.50114787,-0.0019992949,0.5376774,0.39574647,-0.014817041,0.5540496,0.32947275,-0.030541252,0.56710064,0.2725287,-0.042595692,0.45612788,0.483354,0.0035431993,0.47428665,0.36442047,-0.0055075134,0.4848687,0.2876473,-0.021839822,0.4951715,0.22417898,-0.034601204,0.4067195,0.48907846,0.0018940469,0.41308984,0.3772568,-0.012352331,0.42052478,0.30680636,-0.029055819,0.43034786,0.24904045,-0.040605493,0.35479397,0.5133449,-0.0042770766,0.34144962,0.43233126,-0.021507543,0.3341877,0.37452,-0.032457452,0.33248383,0.31938142,-0.038945723
open_palm,0.40175405,0.76837754,7.3372155e-07,0.49690992,0.72289777,-0.038957674,0.56620187,0.64862525,-0.047674127,0.6075463,0.56654274,-0.053510398,0.6421379,0.5034695,-0.05736695,0.50373787,0.49724,0.0038725627,0.5343393,0.39164075,-0.0056450483,0.5495564,0.32547945,-0.019615993,0.56144536,0.26851115,-0.030843165,0.45376492,0.48014966,0.010264691,0.47172394,0.36124453,0.004109925,0.48186713,0.2846518,-0.011113468,0.49164915,0.22156405,-0.023294862,0.4043851,0.486267,0.009238647,0.4105937,0.37433305,-0.003175705,0.4182683,0.3042193,-0.02018213,0.42831412,0.24656788,-0.03212679,0.3525979,0.51018864,0.0037512626,0.33869842,0.42913085,-0.012420878,0.3311919,0.37174258,-0.023827398,0.3298331,0.3163328,-0.03089692
open_palm,0.39911348,0.768572,7.2965065e-07,0.49451557,0.7232808,-0.0392686,0.56357414,0.6488396,-0.048047952,0.60428727,0.565475,-0.05389487,0.63862777,0.5015727,-0.057779092,0.5011355,0.49693313,0.003742034,0.5314137,0.39079982,-0.0058619604,0.5464855,0.32415086,-0.019870412,0.558241,0.26676232,-0.031163728,0.45100182,0.4798828,0.010212379,0.46871147,0.36031675,0.003920485,0.47874254,0.2834124,-0.01128187,0.48838323,0.22002599,-0.023432214,0.40153503,0.4862373,0.009219965,0.40756407,0.3735764,-0.0034392488,0.4151949,0.30283672,-0.020460937,0.42510453,0.2445722,-0.032397304,0.34978905,0.51057744,0.0037401803,0.33556598,0.42904776,-0.012778473,0.3280915,0.37139955,-0.024335455,0.32678732,0.31562003,-0.031483658
open_palm,0.39577466,0.7705875,7.286809e-07,0.49130774,0.72473055,-0.040026445,0.5603813,0.6488608,-0.04878757,0.6011409,0.5646436,-0.054439534,0.6355399,0.5004189,-0.05806583,0.49809703,0.49731654,0.003679096,0.52819765,0.39102182,-0.0058024675,0.543121,0.32404968,-0.019869506,0.5548051,0.2664983,-0.031269193,0.4477798,0.48015967,0.01059878,0.46514082,0.36025873,0.00449111,0.4749691,0.28325474,-0.010710783,0.48447615,0.22015488,-0.022898594,0.39820316,0.4867266,0.009956737,0.4040161,0.37349266,-0.0025956961,0.4115406,0.3027925,-0.019685084,0.42140096,0.24452814,-0.031733207,0.34654206,0.5114617,0.004736273,0.33208498,0.42983517,-0.011793211,0.32451224,0.3721439,-0.023496475,0.3232705,0.3161248,-0.030803818
open_palm,0.39439124,0.7720896,7.2419203e-07,0.48967895,0.72621787,-0.039567396,0.5583771,0.65107423,-0.048460037,0.5988361,0.56646216,-0.05438173,0.6332191,0.5017515,-0.058348637,0.4957859,0.50009036,0.0038565297,0.52609444,0.3943501,-0.0058855317,0.54112095,0.3276163,-0.020054981,0.552741,0.27023917,-0.031473167,0.44555846,0.4827973,0.0105003,0.4628839,0.36290365,0.0041337893,0.4726008,0.28625202,-0.011019342,0.4820269,0.22324911,-0.023087028,0.39610463,0.48917603,0.009640729,0.40176097,0.37600163,-0.0030022312,0.40923554,0.30527803,-0.01974383,0.41910282,0.24705167,-0.03150997,0.34465352,0.5139071,0.0042437124,0.33003053,0.43242693,-0.012249451,0.3225569,0.37467885,-0.023635637,0.32126758,0.31873465,-0.03065599
open_palm,0.3928715,0.77202475,7.228825e-07,0.48752505,0.72630465,-0.039006747,0.55568963,0.65215653,-0.048174083,0.5967058,0.56886876,-0.054552518,0.6312748,0.505031,-0.05906105,0.49434352,0.5029565,0.0033843634,0.52524424,0.39827853,-0.0068448326,0.5405043,0.3320385,-0.021201652,0.5521717,0.27510008,-0.032675438,0.44456577,0.48543176,0.009576338,0.4621965,0.3661839,0.0026651134,0.47207355,0.2899684,-0.012606596,0.4816823,0.2270402,-0.024664994,0.39528564,0.49130797,0.008368025,0.40122613,0.37898627,-0.0045355773,0.40889588,0.30836293,-0.02108797,0.4190442,0.2502086,-0.03267952,0.34393468,0.51541305,0.0026780937,0.3295278,0.4344967,-0.013830451,0.322272,0.37681586,-0.02497426,0.32116827,0.32095996,-0.03180281
open_palm,0.38849032,0.76906407,7.3317864e-07,0.48383576,0.7241355,-0.03866536,0.55270374,0.6509766,-0.04756884,0.5941924,0.56853515,-0.053700656,0.6294119,0.50544584,-0.057971615,0.49178228,0.5014452,0.0038152281,0.5237999,0.39688057,-0.006155901,0.53964657,0.33074373,-0.02035214,0.5518124,0.27388978,-0.03170699,0.44222862,0.48344254,0.009935329,0.4608376,0.36418873,0.0032670307,0.4714299,0.28786448,-0.011994822,0.48171306,0.22508213,-0.02405503,0.39302665,0.48878402,0.008678796,0.39977875,0.3763953,-0.0041216053,0.40789145,0.30598512,-0.020909466,0.41850504,0.24806996,-0.032632954,0.3414597,0.5122012,0.0029993716,0.32749948,0.43112326,-0.013560911,0.32047617,0.37335652,-0.024923276,0.31967673,0.3174508,-0.031861942
