gesture,landmark_0,landmark_1,landmark_2,landmark_3,landmark_4,landmark_5,landmark_6,landmark_7,landmark_8,landmark_9,landmark_10,landmark_11,landmark_12,landmark_13,landmark_14,landmark_15,landmark_16,landmark_17,landmark_18,landmark_19,landmark_20,landmark_21,landmark_22,landmark_23,landmark_24,landmark_25,landmark_26,landmark_27,landmark_28,landmark_29,landmark_30,landmark_31,landmark_32,landmark_33,landmark_34,landmark_35,landmark_36,landmark_37,landmark_38,landmark_39,landmark_40,landmark_41,landmark_42,landmark_43,landmark_44,landmark_45,landmark_46,landmark_47,landmark_48,landmark_49,landmark_50,landmark_51,landmark_52,landmark_53,landmark_54,landmark_55,landmark_56,landmark_57,landmark_58,landmark_59,landmark_60,landmark_61,landmark_62
peace,0.62416846,0.846718,5.9930085e-07,0.65221137,0.71872807,0.044282366,0.6330292,0.62852347,0.054517895,0.59059376,0.5868792,0.054261547,0.55259305,0.5771822,0.05090793,0.63713574,0.56574184,0.011843861,0.6233579,0.4350792,0.0020899945,0.61635846,0.3583216,-0.0017906489,0.610487,0.3022621,-0.0012353258,0.58498865,0.57717735,-0.011685141,0.54166687,0.44102684,-0.018798048,0.51526207,0.3645565,-0.01866752,0.49211448,0.31420225,-0.016450975,0.53586435,0.6093475,-0.028568273,0.4928267,0.53537023,-0.019517027,0.5113262,0.5628288,0.00031770728,0.5265239,0.5929438,0.016241902,0.49485007,0.659824,-0.042832777,0.47235435,0.6017276,-0.02043454,0.4875973,0.6223087,0.008336085,0.5040381,0.65007776,0.031185975
peace,0.62457097,0.8540751,6.1364966e-07,0.6527008,0.7267074,0.042576533,0.63405263,0.63671994,0.051517446,0.5911437,0.59455985,0.050251573,0.55323607,0.5840651,0.045900017,0.6369697,0.574442,0.008972958,0.6236631,0.44462752,-0.0020927095,0.6171559,0.3679777,-0.006724951,0.6120564,0.31173804,-0.0065955585,0.5855727,0.5858904,-0.014255558,0.5432518,0.45040965,-0.022601146,0.5174417,0.3737294,-0.022841355,0.49506497,0.32349497,-0.020844018,0.53681684,0.6180703,-0.03092139,0.49388584,0.5424791,-0.023123609,0.51208586,0.5692287,-0.0027288357,0.527088,0.5996597,0.0137529345,0.496396,0.6685386,-0.045117397,0.47368535,0.60805833,-0.02391603,0.48923677,0.6288705,0.005105925,0.5053622,0.65723187,0.02832226
peace,0.62840956,0.8582379,6.041012e-07,0.65533924,0.72947025,0.044236563,0.63695145,0.64006996,0.053510286,0.5941332,0.59691507,0.052170336,0.55656564,0.5855881,0.04783603,0.63937724,0.5761751,0.010857925,0.6254942,0.44844538,-0.00024402793,0.6189364,0.3723126,-0.0050503905,0.61412895,0.3164992,-0.005130353,0.58915037,0.5881127,-0.013470041,0.546847,0.4537548,-0.02248906,0.52082276,0.37760028,-0.023000088,0.4987831,0.32867637,-0.021154005,0.5407207,0.62084347,-0.031161224,0.49667248,0.5444671,-0.023108963,0.5145235,0.57083243,-0.0012762079,0.5298391,0.6007559,0.01606139,0.5006601,0.67220044,-0.046378955,0.47564125,0.60931504,-0.024612922,0.4911914,0.63056743,0.0055816667,0.5076675,0.6592048,0.029575825
peace,0.629205,0.8545831,5.938173e-07,0.6575376,0.7262335,0.04553826,0.63955724,0.63742363,0.0555683,0.59694445,0.59341526,0.054768465,0.5595876,0.5817858,0.05106292,0.6406781,0.5718652,0.0126387505,0.6268974,0.44477147,0.0022801242,0.62048733,0.36910325,-0.00197742,0.6155253,0.31393147,-0.0017775455,0.5907322,0.5835377,-0.011907361,0.54921883,0.4497613,-0.02094013,0.52253824,0.37371922,-0.02133062,0.49978408,0.3255407,-0.01930811,0.5425142,0.6163913,-0.02968506,0.4985264,0.54053825,-0.020807963,0.5162443,0.5673509,0.0019040222,0.5317125,0.5972209,0.01974511,0.5025897,0.6684695,-0.044932436,0.4769202,0.6054055,-0.022230813,0.49255413,0.6270312,0.008598311,0.50933164,0.65604675,0.032988586
peace,0.62716717,0.8509272,5.9593106e-07,0.6556164,0.7232377,0.04559899,0.6376672,0.6350709,0.05561621,0.59517753,0.59111524,0.054751307,0.55797476,0.5792817,0.05107177,0.63877404,0.5693572,0.012353813,0.6247705,0.44269052,0.0014365907,0.61841583,0.36689308,-0.003256923,0.6130606,0.3118255,-0.0033773892,0.58875144,0.5808941,-0.012203801,0.5473725,0.44721818,-0.022324402,0.52012485,0.37047622,-0.02347103,0.4965213,0.32194573,-0.021819677,0.54033136,0.61376286,-0.029907897,0.49680996,0.5392962,-0.021239951,0.51481736,0.56626993,0.0017482744,0.53031254,0.59581757,0.019896682,0.5001229,0.66601276,-0.04512048,0.47534403,0.6041471,-0.022171408,0.4911477,0.62603706,0.008959546,0.5077659,0.65517485,0.03362457
peace,0.6252752,0.852155,5.959283e-07,0.653353,0.72522277,0.045986854,0.63570476,0.6372662,0.055825703,0.5933987,0.59220576,0.054802112,0.556353,0.57945085,0.051083975,0.6367774,0.5713155,0.0112117175,0.62255466,0.44449338,-0.00044548983,0.61624384,0.36826628,-0.005417462,0.6108229,0.31305185,-0.005692477,0.58670014,0.5826517,-0.013517384,0.54438514,0.44869572,-0.025202313,0.5168096,0.37154764,-0.026764074,0.49300998,0.3227541,-0.025122285,0.5380441,0.61539435,-0.031189252,0.49510413,0.5417079,-0.022927178,0.51325405,0.5680191,0.00084653107,0.52851236,0.59691083,0.01972961,0.4977459,0.6677127,-0.046368554,0.4739728,0.6059957,-0.022966987,0.4896949,0.62790847,0.00890586,0.5057434,0.6571269,0.03417694
peace,0.62523925,0.8548967,5.899743e-07,0.6524812,0.7286783,0.045824856,0.63480675,0.64041424,0.055850197,0.5925891,0.5953501,0.055138983,0.5554176,0.5829083,0.05183021,0.6361854,0.5741481,0.011999074,0.62223583,0.448352,0.001031254,0.6160583,0.37253222,-0.0037076653,0.6108669,0.31745392,-0.0039024397,0.58596176,0.58555895,-0.01254869,0.5425352,0.45284986,-0.023667058,0.5145539,0.3764757,-0.02529476,0.49063262,0.3276629,-0.023776224,0.5373948,0.61799455,-0.030053323,0.49541146,0.545464,-0.021520596,0.51353717,0.57144463,0.0017761418,0.5284248,0.5999795,0.02025971,0.497343,0.66942245,-0.045056634,0.4744262,0.60825545,-0.021197759,0.48987943,0.630144,0.010662729,0.5055441,0.6592812,0.03580971
peace,0.6281018,0.8547088,5.801003e-07,0.65574247,0.7287871,0.04511701,0.63839155,0.63990754,0.055514663,0.5964056,0.59485537,0.05530273,0.55887115,0.5829946,0.05249568,0.63942796,0.57338285,0.013484763,0.62611294,0.44885796,0.0038873204,0.6200521,0.37384057,-5.0927792e-05,0.6153059,0.3191291,0.00017582197,0.5890327,0.58452284,-0.010661619,0.5449521,0.45378178,-0.02027329,0.51764286,0.37870008,-0.021310922,0.4949874,0.33008033,-0.019593602,0.54074323,0.61654615,-0.027986562,0.49923888,0.5441464,-0.019443447,0.51721513,0.5705682,0.0028224885,0.532022,0.5995731,0.02051166,0.5009879,0.6671261,-0.042804204,0.47787443,0.6067496,-0.019577507,0.49310738,0.6284485,0.011326736,0.5089461,0.65733707,0.035734817
peace,0.63368714,0.85101986,5.608307e-07,0.66158384,0.72567767,0.04614093,0.644842,0.63720167,0.05776314,0.60397214,0.59174716,0.058516033,0.56657505,0.58001053,0.0566938,0.64666003,0.5699626,0.017093752,0.6340749,0.4460594,0.009146603,0.62822115,0.3719324,0.006081804,0.62362236,0.31770173,0.0067741186,0.59630287,0.58061343,-0.007195407,0.55335885,0.4510749,-0.015184986,0.5268333,0.3769222,-0.01569527,0.5049091,0.32881847,-0.013744903,0.54836905,0.61192346,-0.024806865,0.5063218,0.53932256,-0.015425637,0.5239086,0.56710494,0.0062154112,0.5388226,0.59637177,0.023265002,0.50869566,0.6616241,-0.03983248,0.4850011,0.60268784,-0.016498191,0.49977642,0.62437624,0.01361645,0.5161662,0.65251565,0.037345864
peace,0.6370274,0.84933627,5.5767464e-07,0.6657039,0.72407067,0.048994705,0.6495563,0.6372366,0.062019993,0.6094124,0.5907696,0.06362175,0.572511,0.5781797,0.062844835,0.6523635,0.5689875,0.020477068,0.63999516,0.444774,0.013096428,0.63424575,0.37056777,0.0103339,0.6293682,0.31634742,0.011005226,0.60208905,0.57857525,-0.0046462677,0.56078255,0.44847387,-0.013252472,0.53556657,0.3732049,-0.013870982,0.51458704,0.32481122,-0.011898852,0.55392194,0.60928327,-0.022900054,0.5113365,0.5353545,-0.012336029,0.5289155,0.563778,0.010816591,0.54386544,0.5927177,0.028686833,0.5140284,0.65901893,-0.0384993,0.49004912,0.6006364,-0.013764819,0.50455314,0.6221972,0.016998159,0.5211212,0.6497327,0.041036516
