gesture,landmark_0,landmark_1,landmark_2,landmark_3,landmark_4,landmark_5,landmark_6,landmark_7,landmark_8,landmark_9,landmark_10,landmark_11,landmark_12,landmark_13,landmark_14,landmark_15,landmark_16,landmark_17,landmark_18,landmark_19,landmark_20,landmark_21,landmark_22,landmark_23,landmark_24,landmark_25,landmark_26,landmark_27,landmark_28,landmark_29,landmark_30,landmark_31,landmark_32,landmark_33,landmark_34,landmark_35,landmark_36,landmark_37,landmark_38,landmark_39,landmark_40,landmark_41,landmark_42,landmark_43,landmark_44,landmark_45,landmark_46,landmark_47,landmark_48,landmark_49,landmark_50,landmark_51,landmark_52,landmark_53,landmark_54,landmark_55,landmark_56,landmark_57,landmark_58,landmark_59,landmark_60,landmark_61,landmark_62
pointing,0.39140558,0.65203345,5.887142e-07,0.46173486,0.62497276,-0.016743425,0.51491725,0.5861524,-0.02798144,0.5565175,0.53920066,-0.043134816,0.57297885,0.47935635,-0.057181895,0.485147,0.4587637,0.01228552,0.53038895,0.40517503,-0.017424006,0.5607585,0.4057126,-0.043998368,0.5805477,0.42868805,-0.056214344,0.4650027,0.43013558,0.0052336543,0.50850755,0.34613374,-0.007981462,0.54461354,0.29796126,-0.0226308,0.57926655,0.2559959,-0.032591294,0.43620142,0.4169035,-0.009377124,0.46891767,0.33024046,-0.02448196,0.4944138,0.2771304,-0.03629306,0.51991075,0.23881364,-0.043212485,0.39846483,0.41650167,-0.026808286,0.39758414,0.33899325,-0.038164698,0.40723443,0.29002887,-0.04126277,0.42372593,0.25299186,-0.04229963
pointing,0.5191637,0.67194307,4.6803743e-07,0.55004936,0.631566,-0.018361336,0.5695522,0.5828155,-0.03153398,0.5836399,0.5445466,-0.04722295,0.58422387,0.5032798,-0.06268263,0.5685095,0.4703973,-0.004765735,0.60077167,0.41039664,-0.03312991,0.62493694,0.39248282,-0.056373917,0.6422077,0.39235336,-0.06813456,0.56425893,0.46088886,-0.011154883,0.5806875,0.40180597,-0.03152583,0.59416217,0.3758747,-0.045335304,0.61106354,0.35477108,-0.052765865,0.5494254,0.4674588,-0.023172822,0.552607,0.41858372,-0.044586748,0.5650037,0.39242047,-0.05326911,0.5823544,0.37367705,-0.055470902,0.52540916,0.4842616,-0.037459806,0.5062454,0.43477684,-0.052898556,0.5077256,0.40910554,-0.054064564,0.51875466,0.38953367,-0.051871687
pointing,0.6715524,0.66971815,3.2851082e-07,0.6446181,0.60275626,-0.022636123,0.6156817,0.53780377,-0.042955793,0.5878993,0.5187013,-0.06354554,0.5751828,0.51786625,-0.08575093,0.6671195,0.44515753,-0.03758311,0.67808473,0.38176018,-0.06696294,0.6935012,0.33764642,-0.08917879,0.7058546,0.3042912,-0.10456058,0.69264233,0.46803242,-0.04449654,0.6389617,0.46387663,-0.07434952,0.62254804,0.4621578,-0.086377226,0.6206976,0.45809498,-0.09245259,0.69974124,0.5153583,-0.054268472,0.6299714,0.53050745,-0.079961546,0.6324383,0.5242055,-0.079625145,0.64961815,0.51598364,-0.07532916,0.6933578,0.5673228,-0.066477686,0.62539446,0.5650133,-0.08669687,0.6207479,0.55675954,-0.084032595,0.63334644,0.54504955,-0.07782931
pointing,0.722691,0.64467746,1.776748e-07,0.666608,0.55694133,-0.026304524,0.6139129,0.48049203,-0.05242014,0.56110334,0.47790623,-0.07690239,0.54702425,0.5098959,-0.1043517,0.6993871,0.40369123,-0.06350426,0.69603014,0.34087068,-0.095867924,0.70495117,0.28307408,-0.12098949,0.71309555,0.22985044,-0.1422598,0.7457799,0.4473985,-0.070979506,0.6290967,0.49214727,-0.10478363,0.5936122,0.5019077,-0.1140789,0.58487874,0.50051725,-0.11977346,0.7628821,0.52680856,-0.07977683,0.6287769,0.5878189,-0.1029885,0.6294607,0.5783836,-0.09246116,0.6544154,0.5638261,-0.08334236,0.75943583,0.60569775,-0.092124596,0.6451565,0.6348673,-0.11489961,0.63959527,0.62431353,-0.10866561,0.6601656,0.60614234,-0.09922558
pointing,0.6908723,0.6250183,5.209057e-08,0.632994,0.5406674,-0.028339919,0.58124435,0.4649302,-0.05644979,0.5268315,0.4685162,-0.08243774,0.51620567,0.5143429,-0.11159179,0.67664856,0.38704085,-0.07090475,0.6732931,0.3293137,-0.10387597,0.6807257,0.2763998,-0.13114744,0.6878117,0.2220557,-0.15545292,0.73594683,0.4312591,-0.077898666,0.6074189,0.49754724,-0.107941546,0.573944,0.50745004,-0.11373423,0.5713785,0.49771586,-0.118534505,0.7579292,0.5178075,-0.086153686,0.61233026,0.58965147,-0.102142885,0.6082942,0.57026756,-0.08482996,0.63055307,0.5462155,-0.073693424,0.75421256,0.6011474,-0.099305406,0.63400215,0.63865054,-0.11969334,0.6253606,0.61900055,-0.110974945,0.64355904,0.59318775,-0.09995735
pointing,0.68168724,0.6129706,-3.086453e-08,0.62415725,0.536333,-0.03101698,0.57080173,0.4638257,-0.059468336,0.51567537,0.4731651,-0.08522033,0.505056,0.52090275,-0.11380668,0.6682278,0.38726085,-0.07518467,0.66560185,0.3358357,-0.10992589,0.67234725,0.28600055,-0.13805959,0.6809037,0.23251307,-0.16242404,0.731568,0.43221802,-0.08078223,0.60171586,0.5072994,-0.112626955,0.56298935,0.5180398,-0.11779746,0.55978453,0.50796396,-0.121290825,0.75468236,0.51902807,-0.08789627,0.6094182,0.5948181,-0.105897054,0.59724325,0.57271296,-0.08690694,0.61495847,0.5462614,-0.073594384,0.75054246,0.6010291,-0.10029636,0.6289545,0.64070356,-0.12243211,0.61522186,0.61827147,-0.11314676,0.6299821,0.5910181,-0.100760266
pointing,0.68394506,0.60664886,-6.539801e-08,0.6265579,0.5334605,-0.03423334,0.5719488,0.46396646,-0.065077364,0.5156144,0.476377,-0.09260398,0.505015,0.5259471,-0.12267534,0.6718117,0.39122945,-0.08249298,0.6672138,0.34626585,-0.12202082,0.67355967,0.29857212,-0.1535648,0.68404496,0.24515513,-0.1798634,0.7364454,0.43837103,-0.08717648,0.6013433,0.5161479,-0.12296927,0.55980235,0.52783513,-0.12778786,0.55840564,0.51714426,-0.13044381,0.7583209,0.5255595,-0.09385353,0.61111534,0.6003931,-0.11596131,0.5933438,0.5761428,-0.095286205,0.60914254,0.5477396,-0.07988199,0.7526509,0.6064703,-0.1061679,0.62886935,0.64578974,-0.13195698,0.6115501,0.62099475,-0.12294954,0.6247054,0.59190714,-0.110049285
pointing,0.69247425,0.6177805,-5.0435027e-08,0.6342464,0.539951,-0.034310695,0.5792152,0.46706167,-0.06461097,0.52169174,0.4779493,-0.09161965,0.51047766,0.5303358,-0.121072784,0.6791972,0.40334406,-0.081332065,0.6715604,0.36224434,-0.11981274,0.67763317,0.31602427,-0.14962271,0.6892687,0.2640063,-0.17443752,0.7404002,0.4506356,-0.0859396,0.60514724,0.5249576,-0.12134297,0.5644316,0.532658,-0.1265075,0.56295043,0.5208789,-0.12947512,0.76078933,0.5359174,-0.09254686,0.6138365,0.6063635,-0.11584811,0.59709597,0.58041406,-0.09728356,0.61394167,0.5513924,-0.08284076,0.7550725,0.61507046,-0.10456822,0.6314065,0.65058476,-0.12999746,0.61530894,0.6261233,-0.12181427,0.6299043,0.59870946,-0.109804
pointing,0.6959728,0.62445813,-1.6069398e-08,0.6402531,0.54265106,-0.034396674,0.5865059,0.4669486,-0.06438805,0.52774644,0.47595066,-0.09105736,0.5138263,0.52900654,-0.120062664,0.6843842,0.41075397,-0.07982607,0.6732088,0.37381148,-0.117071964,0.677884,0.33074117,-0.14565128,0.6882603,0.28124258,-0.16972455,0.74154353,0.4599511,-0.08484241,0.6073659,0.5310163,-0.1202693,0.56938636,0.53550476,-0.12680657,0.56876004,0.52166486,-0.13109076,0.75972706,0.54514325,-0.09184409,0.6137443,0.61078817,-0.116271935,0.60099953,0.5859153,-0.09995784,0.62062776,0.558489,-0.08701073,0.75338477,0.62387264,-0.10406524,0.6316906,0.65522325,-0.13007507,0.619269,0.6326589,-0.123185575,0.6371717,0.6079606,-0.11255197
pointing,0.6938061,0.6259991,-2.166391e-08,0.6399435,0.5431032,-0.03343612,0.58822227,0.46522722,-0.061679054,0.5309518,0.47344097,-0.08687827,0.5161904,0.52712035,-0.11416708,0.6844025,0.41412097,-0.07480748,0.6727398,0.37815934,-0.109111145,0.6760694,0.33665746,-0.1351001,0.68426096,0.28948498,-0.15724932,0.73893297,0.4636156,-0.08018571,0.6051804,0.533449,-0.113973066,0.5713955,0.5362221,-0.12087107,0.5731048,0.522338,-0.12528098,0.75603783,0.54859626,-0.08751838,0.6115863,0.61192405,-0.111820474,0.6039826,0.5881899,-0.09719997,0.62668455,0.5623309,-0.084985785,0.74981564,0.6271497,-0.09984644,0.62985784,0.6562104,-0.12567425,0.6212701,0.6351224,-0.11935028,0.64204544,0.61286795,-0.108990036
