gesture,landmark_0,landmark_1,landmark_2,landmark_3,landmark_4,landmark_5,landmark_6,landmark_7,landmark_8,landmark_9,landmark_10,landmark_11,landmark_12,landmark_13,landmark_14,landmark_15,landmark_16,landmark_17,landmark_18,landmark_19,landmark_20,landmark_21,landmark_22,landmark_23,landmark_24,landmark_25,landmark_26,landmark_27,landmark_28,landmark_29,landmark_30,landmark_31,landmark_32,landmark_33,landmark_34,landmark_35,landmark_36,landmark_37,landmark_38,landmark_39,landmark_40,landmark_41,landmark_42,landmark_43,landmark_44,landmark_45,landmark_46,landmark_47,landmark_48,landmark_49,landmark_50,landmark_51,landmark_52,landmark_53,landmark_54,landmark_55,landmark_56,landmark_57,landmark_58,landmark_59,landmark_60,landmark_61,landmark_62
thumbs_down,0.5650065,0.40808335,-5.1342386e-07,0.5307837,0.5032612,-0.022292783,0.48533234,0.5786476,-0.035706393,0.43786103,0.6317717,-0.053138237,0.4049057,0.6793901,-0.06604046,0.41810116,0.49647808,0.007128822,0.36756644,0.5119888,-0.025761107,0.41024595,0.50647014,-0.04702091,0.4399538,0.49529403,-0.056497645,0.41325712,0.44026858,0.003886254,0.36087257,0.45337573,-0.031116107,0.41499242,0.45765725,-0.043686084,0.44047856,0.44980997,-0.044498753,0.41702408,0.38380542,-0.006165624,0.3615465,0.38771948,-0.039106183,0.41024822,0.40151328,-0.03278058,0.4387529,0.39821634,-0.019028572,0.42689672,0.32590818,-0.018843206,0.37500113,0.3177066,-0.033305883,0.3992117,0.34300047,-0.023588007,0.42122626,0.35421795,-0.0116269495
thumbs_down,0.56208026,0.40714607,-5.1627524e-07,0.5273113,0.5029647,-0.021224033,0.48164552,0.5784925,-0.034064893,0.43434873,0.6316012,-0.05118882,0.40195203,0.67917484,-0.06399716,0.41376144,0.4954527,0.0093042385,0.3640278,0.512018,-0.023074804,0.40628728,0.50618577,-0.044551782,0.43644467,0.4949476,-0.0542127,0.40877324,0.43959704,0.005621005,0.3574378,0.4533217,-0.028923523,0.41152543,0.45733738,-0.041954614,0.43755665,0.44971108,-0.04304052,0.41252893,0.3831149,-0.0048106415,0.35757393,0.38800517,-0.03730332,0.40660176,0.40150207,-0.031290196,0.43546495,0.39808732,-0.017731378,0.42272002,0.32507142,-0.01778637,0.3712797,0.31840014,-0.032028593,0.3964079,0.34354007,-0.022211758,0.4189461,0.35429972,-0.010096647
thumbs_down,0.5583366,0.40677446,-5.1026365e-07,0.52378166,0.50299233,-0.021230908,0.47852415,0.57903755,-0.033947043,0.43151706,0.63231045,-0.050841343,0.39968887,0.68014187,-0.06351897,0.41023874,0.49677616,0.009558152,0.36096218,0.5128118,-0.022009352,0.40228724,0.507139,-0.043103546,0.43200755,0.4965619,-0.05275037,0.40473932,0.44105,0.0059391134,0.3537535,0.45497757,-0.027990822,0.40764156,0.45846477,-0.0410128,0.4337616,0.45111036,-0.042243887,0.40822297,0.38450435,-0.004346275,0.3538521,0.38963515,-0.036611825,0.40323907,0.40245572,-0.030646026,0.43247324,0.3991866,-0.01723538,0.41843557,0.3264759,-0.017142223,0.36769962,0.32052398,-0.031524386,0.39402014,0.34486157,-0.021698344,0.41712117,0.35517606,-0.00962556
thumbs_down,0.55807024,0.4050421,-5.161842e-07,0.52399904,0.49995813,-0.022497464,0.47815752,0.57696146,-0.036184262,0.43130046,0.63110864,-0.053535104,0.39974764,0.6793192,-0.066346966,0.4082342,0.49669343,0.0063279932,0.35964397,0.5124881,-0.02597962,0.40261894,0.5061892,-0.046530116,0.43089753,0.4956956,-0.05585867,0.40238014,0.4405249,0.0030658427,0.35331526,0.4552566,-0.03137639,0.40829116,0.4574272,-0.04319162,0.43168458,0.44959998,-0.043607652,0.40565553,0.38367683,-0.0069384673,0.35301143,0.39001948,-0.039939597,0.40338546,0.40131935,-0.03261758,0.43019897,0.39709985,-0.018362598,0.4156881,0.32580084,-0.019504372,0.36626896,0.32226315,-0.03449226,0.39462477,0.34462202,-0.023912707,0.4170251,0.35237935,-0.011217717
thumbs_down,0.5663892,0.40109286,-5.3931717e-07,0.53313285,0.49299878,-0.023895754,0.48717403,0.57088935,-0.03832689,0.44033226,0.6261701,-0.05570665,0.4090487,0.6738752,-0.06816313,0.41621584,0.4923903,0.0033873445,0.36918163,0.5074628,-0.02930142,0.41448054,0.50119334,-0.04894497,0.4404017,0.49105582,-0.057774626,0.4102717,0.43556198,0.0008203198,0.3642363,0.45048913,-0.033952497,0.41998512,0.45213276,-0.044289134,0.43955034,0.44405633,-0.043684654,0.4134453,0.37858623,-0.00856719,0.3650157,0.38544214,-0.041960116,0.4155868,0.39523834,-0.03321967,0.43811098,0.38973674,-0.018208075,0.42312723,0.3212185,-0.020557625,0.377006,0.31974927,-0.03545166,0.40773988,0.33995378,-0.023768341,0.42829737,0.34470147,-0.010366736
thumbs_down,0.5974926,0.38941756,-5.686542e-07,0.56375945,0.47629753,-0.025253955,0.5165317,0.55462456,-0.040767405,0.46969897,0.6119315,-0.058198374,0.43904242,0.65974855,-0.07019441,0.44303232,0.4751626,-0.0006008859,0.40277943,0.49054393,-0.03325387,0.45127591,0.48432627,-0.051153284,0.47024354,0.47335106,-0.059307236,0.43910939,0.41768402,-0.0023784935,0.4005754,0.43311486,-0.03757159,0.45802253,0.43534428,-0.045206796,0.46965057,0.42663255,-0.04279107,0.44368315,0.3609795,-0.010956477,0.4034407,0.3689472,-0.044938467,0.45504075,0.37831932,-0.033581603,0.46933556,0.371144,-0.017160991,0.4538849,0.30479783,-0.022120662,0.41318816,0.30650118,-0.036507256,0.44795442,0.3255965,-0.022580024,0.4647406,0.32659245,-0.007720203
thumbs_down,0.6395858,0.37735885,-5.811835e-07,0.6029046,0.4599092,-0.027015125,0.55339867,0.5365702,-0.04320839,0.5058697,0.59422076,-0.060456436,0.47569388,0.6430656,-0.07177897,0.48094216,0.45500526,-0.0032550537,0.44648919,0.46776253,-0.035346344,0.49687582,0.46142927,-0.05183814,0.51078904,0.4513306,-0.05962608,0.47946197,0.39609712,-0.00384132,0.4475441,0.40942654,-0.03938158,0.50609994,0.4134128,-0.045999024,0.51204836,0.40721902,-0.043261092,0.48638535,0.3390024,-0.011182857,0.45198083,0.34449205,-0.04638214,0.50387,0.35521445,-0.03441443,0.51312065,0.3498564,-0.017775785,0.49834245,0.2840409,-0.02105656,0.46178684,0.28367755,-0.036126204,0.49771848,0.30316025,-0.021906827,0.5114553,0.3045153,-0.0068994844
thumbs_down,0.66323113,0.37399384,-5.7149265e-07,0.6243892,0.45528308,-0.027676191,0.5724237,0.5294772,-0.044054084,0.5236128,0.5866649,-0.061321992,0.49349695,0.6373834,-0.072413385,0.5029808,0.4455204,-0.0042265696,0.4707016,0.4576323,-0.036182746,0.52174455,0.4506688,-0.051875144,0.53261906,0.4403847,-0.059458055,0.5029543,0.38644087,-0.004497743,0.474119,0.3992735,-0.040343847,0.5326866,0.40405887,-0.046678405,0.534563,0.3983241,-0.04416826,0.5111488,0.32948273,-0.011510888,0.47844,0.33416748,-0.0477055,0.5304786,0.3463964,-0.03542722,0.5370898,0.3416771,-0.018685095,0.5239447,0.27538523,-0.021085095,0.48849326,0.27329934,-0.0368662,0.52385956,0.29445866,-0.022810418,0.5361213,0.2965628,-0.0079810005
thumbs_down,0.6753567,0.374919,-5.577148e-07,0.63603336,0.45508128,-0.027250681,0.5826174,0.52677,-0.043292016,0.5336288,0.5816766,-0.06041156,0.50368917,0.63252085,-0.0713601,0.517497,0.44291157,-0.0048527843,0.483249,0.45302162,-0.03695518,0.53408056,0.44634122,-0.05236014,0.5464722,0.4370957,-0.059565436,0.5178906,0.3837589,-0.0053240787,0.48861212,0.39388263,-0.04083004,0.54572654,0.40008014,-0.047411602,0.54686314,0.39646176,-0.04544896,0.526496,0.32678074,-0.012429194,0.49352056,0.32869056,-0.04825945,0.54373205,0.34220415,-0.03646448,0.5496023,0.33935308,-0.020346045,0.5395541,0.2730505,-0.022098307,0.5035459,0.2674541,-0.037694287,0.5365797,0.2889797,-0.024149925,0.5481261,0.29255342,-0.009919459
thumbs_down,0.6782373,0.3804463,-5.5089134e-07,0.63948506,0.4610611,-0.02571123,0.5863771,0.53192204,-0.041120715,0.5381277,0.58552533,-0.058105133,0.5083477,0.63569885,-0.069442466,0.52367765,0.44711185,-0.0039239726,0.4885336,0.4585368,-0.03586489,0.53781736,0.45207983,-0.051637013,0.5529187,0.44190472,-0.058843397,0.52401537,0.38892537,-0.00515337,0.49403405,0.3995318,-0.04005768,0.55020857,0.40584713,-0.046983063,0.5540762,0.40105525,-0.045363035,0.53260505,0.33266297,-0.01287248,0.49943766,0.3347852,-0.048057564,0.54884803,0.3490605,-0.036739983,0.5568372,0.34612468,-0.021021249,0.5459653,0.2790742,-0.023086987,0.5080057,0.27287087,-0.038339067,0.5403466,0.29502812,-0.024867585,0.5536921,0.2992335,-0.01080549
