gesture,landmark_0,landmark_1,landmark_2,landmark_3,landmark_4,landmark_5,landmark_6,landmark_7,landmark_8,landmark_9,landmark_10,landmark_11,landmark_12,landmark_13,landmark_14,landmark_15,landmark_16,landmark_17,landmark_18,landmark_19,landmark_20,landmark_21,landmark_22,landmark_23,landmark_24,landmark_25,landmark_26,landmark_27,landmark_28,landmark_29,landmark_30,landmark_31,landmark_32,landmark_33,landmark_34,landmark_35,landmark_36,landmark_37,landmark_38,landmark_39,landmark_40,landmark_41,landmark_42,landmark_43,landmark_44,landmark_45,landmark_46,landmark_47,landmark_48,landmark_49,landmark_50,landmark_51,landmark_52,landmark_53,landmark_54,landmark_55,landmark_56,landmark_57,landmark_58,landmark_59,landmark_60,landmark_61,landmark_62
thumbs_up,0.7063211,0.7754105,-1.0619726e-06,0.67575634,0.64807856,-0.057264775,0.6985707,0.50564444,-0.08381888,0.72063184,0.40698394,-0.10152288,0.73532915,0.31373605,-0.11008743,0.85651845,0.5106231,-0.06249302,0.75015205,0.52768576,-0.106493734,0.7066005,0.5768388,-0.12761548,0.72133845,0.59245765,-0.14153096,0.8978531,0.59687555,-0.05740728,0.76255745,0.62113553,-0.09906734,0.7177354,0.6449541,-0.10775731,0.73789054,0.6436187,-0.11271627,0.90727043,0.6935057,-0.059121776,0.77896804,0.7100977,-0.10366789,0.73625743,0.72072643,-0.0956469,0.7568723,0.71304303,-0.08764799,0.89981854,0.7849159,-0.067122206,0.79511726,0.79866564,-0.10280391,0.7555905,0.79721034,-0.103886984,0.76771176,0.7839808,-0.10029872
thumbs_up,0.7088887,0.7933,-1.0344968e-06,0.6778447,0.6599611,-0.053684693,0.7018184,0.51467097,-0.077247545,0.72434217,0.41451436,-0.09263668,0.7358392,0.3225065,-0.09919725,0.86083984,0.51510185,-0.053429604,0.75621545,0.5234082,-0.095411,0.714548,0.5767292,-0.11678843,0.72996676,0.596859,-0.13082977,0.90173024,0.5982251,-0.049286775,0.76698625,0.61433005,-0.088938534,0.7242854,0.6437273,-0.09820008,0.74496424,0.6473247,-0.10322007,0.9101757,0.6938166,-0.052087355,0.78259575,0.70299184,-0.09491567,0.74229896,0.7181426,-0.08801902,0.76396066,0.7140128,-0.080479085,0.90198326,0.7847076,-0.060831547,0.79666746,0.79211533,-0.094904885,0.75976515,0.79408866,-0.095985524,0.7739869,0.784543,-0.09219315
thumbs_up,0.7104027,0.80329335,-1.0304035e-06,0.6782299,0.66810447,-0.051896315,0.70186263,0.52158195,-0.07360746,0.7241714,0.4216327,-0.08761926,0.73309135,0.33149916,-0.093152136,0.8610965,0.5200847,-0.047447838,0.7587286,0.5219197,-0.08762801,0.71707827,0.5775905,-0.10890521,0.73168695,0.6006511,-0.12280811,0.901896,0.6011468,-0.043540385,0.7677962,0.61172926,-0.081259415,0.7256371,0.64372337,-0.09081443,0.74624956,0.6494389,-0.09581477,0.90999305,0.6955954,-0.046716675,0.78297806,0.69967806,-0.08785707,0.74388576,0.7166417,-0.08194482,0.76573604,0.7139784,-0.07488991,0.90197563,0.78558064,-0.0556357,0.7967838,0.7890422,-0.08835871,0.7604829,0.79131454,-0.08939867,0.7742586,0.7824091,-0.0854008
thumbs_up,0.7120725,0.8017868,-1.0206937e-06,0.67909867,0.6691449,-0.05289342,0.70111036,0.5238228,-0.07562865,0.72238076,0.42485484,-0.09026187,0.73186785,0.33521986,-0.09633386,0.8598479,0.520756,-0.05087202,0.7561168,0.5248065,-0.09119079,0.7148756,0.57856524,-0.1121126,0.7301971,0.59922063,-0.12593621,0.90078574,0.60162055,-0.04663962,0.7655646,0.6147782,-0.08465721,0.7238599,0.6448474,-0.09393347,0.7447025,0.64845526,-0.0989282,0.9092016,0.6958462,-0.049358077,0.781109,0.7024182,-0.090619996,0.7422822,0.71803766,-0.084490374,0.76427686,0.71385276,-0.0775171,0.9015233,0.7855562,-0.0579076,0.79557085,0.7910573,-0.09132588,0.759185,0.79281175,-0.09281678,0.772889,0.782868,-0.08919184
thumbs_up,0.70862246,0.7940938,-1.0261565e-06,0.67550075,0.66409665,-0.05272258,0.69692945,0.51907575,-0.075513214,0.71722174,0.4203488,-0.090332046,0.72667694,0.3308536,-0.096538976,0.8535878,0.5144557,-0.051593207,0.74941206,0.5199424,-0.092959374,0.70809186,0.5737162,-0.11439884,0.72362196,0.5932261,-0.1284717,0.89461195,0.5950498,-0.047652148,0.7591668,0.6107812,-0.08692976,0.7168168,0.6414643,-0.0962403,0.73779076,0.644092,-0.10100068,0.9036514,0.68958676,-0.050699096,0.77540576,0.69970536,-0.092858575,0.7358878,0.7157723,-0.08615699,0.7578721,0.7105618,-0.078587815,0.89663756,0.78015405,-0.059592515,0.7910427,0.7889893,-0.093451515,0.7548915,0.7913599,-0.094710246,0.76921403,0.7810262,-0.0908239
thumbs_up,0.69877326,0.7737539,-1.011123e-06,0.66560036,0.6471155,-0.05566408,0.6850331,0.5048181,-0.08058467,0.7040633,0.40740186,-0.096439056,0.714968,0.31830865,-0.10315641,0.8409692,0.5031516,-0.06063656,0.7284812,0.5145285,-0.10239993,0.6891502,0.56681526,-0.122482,0.7079,0.5846456,-0.13574584,0.8801263,0.5870133,-0.05566485,0.73892754,0.6073991,-0.09601568,0.6996373,0.63498074,-0.10429567,0.72295415,0.6349615,-0.10860048,0.8883047,0.68355834,-0.057303093,0.75540125,0.697603,-0.10036199,0.7187482,0.7113771,-0.092163876,0.74282664,0.7050323,-0.08360548,0.8805707,0.7755136,-0.06500079,0.77306914,0.78658,-0.09988709,0.7390632,0.78802884,-0.10080792,0.7551535,0.7776883,-0.09659706
thumbs_up,0.698182,0.75016516,-9.477611e-07,0.66559744,0.62423885,-0.057442933,0.682919,0.48450226,-0.084182695,0.7011451,0.3875212,-0.10094698,0.71495086,0.29748324,-0.10813446,0.8343732,0.49068046,-0.069275066,0.7114748,0.5035947,-0.111828886,0.67817676,0.55466914,-0.13127176,0.7024528,0.5732411,-0.1438442,0.8684889,0.5787572,-0.06366835,0.71882933,0.59818864,-0.104235664,0.6882668,0.6238038,-0.11126922,0.7169976,0.6241547,-0.11509182,0.8731432,0.67695844,-0.06421321,0.7334169,0.68923676,-0.10746755,0.70478415,0.70140415,-0.097339526,0.73272747,0.6962944,-0.08726291,0.86244935,0.76952446,-0.07097502,0.7517989,0.7780316,-0.10691984,0.72487277,0.77842176,-0.1074086,0.74526227,0.76970416,-0.10250807
thumbs_up,0.71409714,0.71686906,-7.9844114e-07,0.68167007,0.58572584,-0.060040426,0.6941036,0.44758907,-0.09183188,0.7107586,0.35161516,-0.111788034,0.72962594,0.2591893,-0.12170486,0.8362667,0.46955818,-0.094997965,0.6980311,0.4774353,-0.14081848,0.6753055,0.5267297,-0.15695237,0.70731515,0.5443044,-0.16641732,0.86182535,0.56299776,-0.08960362,0.69921356,0.5735759,-0.1325984,0.6836594,0.5982093,-0.13413373,0.7221529,0.5996766,-0.13484563,0.86007327,0.66280854,-0.08932595,0.70968825,0.66629934,-0.13350596,0.6955701,0.676155,-0.11737231,0.73047584,0.67424476,-0.1034438,0.8441035,0.7549093,-0.09543858,0.7284832,0.75506663,-0.1342066,0.71405697,0.75214744,-0.13400233,0.7419774,0.745489,-0.12835379
thumbs_up,0.72877806,0.69940954,-7.083294e-07,0.6963972,0.5630051,-0.061151154,0.70634466,0.42290965,-0.094296746,0.7214586,0.32563668,-0.114844404,0.74341863,0.23129573,-0.12508747,0.84008235,0.45712328,-0.105216324,0.6926417,0.45946532,-0.1531375,0.6773817,0.50764483,-0.16869403,0.71481574,0.52517307,-0.17696264,0.8605803,0.5547868,-0.09978101,0.6880218,0.55928606,-0.14395256,0.68395925,0.58361185,-0.1431773,0.7299084,0.58615124,-0.14231913,0.8546195,0.6568307,-0.099243395,0.6961462,0.6544584,-0.14438577,0.6938143,0.66189444,-0.12552074,0.73464346,0.66078395,-0.10906242,0.8347703,0.7490502,-0.10516752,0.71506685,0.743368,-0.1459479,0.7109479,0.7368387,-0.14562184,0.7449633,0.73041373,-0.13915041
thumbs_up,0.7343534,0.68670046,-6.773318e-07,0.7034786,0.5509139,-0.06432984,0.7117601,0.41011304,-0.100132346,0.7256957,0.31160027,-0.12243642,0.75015134,0.2150391,-0.13406788,0.8414439,0.4518078,-0.11669241,0.69021857,0.4530456,-0.16687766,0.6780907,0.49916324,-0.18131338,0.71749294,0.5160116,-0.18827137,0.8606396,0.5529245,-0.110381804,0.6830293,0.55640906,-0.15653,0.6839956,0.5777353,-0.15334691,0.7333683,0.5792214,-0.15068881,0.85347766,0.6570578,-0.10884869,0.6905526,0.65347624,-0.1560072,0.69298255,0.65732116,-0.13407071,0.7366834,0.655796,-0.1150136,0.8324529,0.7497451,-0.114084885,0.7107286,0.74219453,-0.15796918,0.70979327,0.73236036,-0.15744656,0.7455155,0.7255448,-0.15012206
